lat,longt,alt,sx,sy,sz,phase,am
-2689110.94070143997669220,4291130.63082529325038195,3864595.98494089581072330,-23016793.65172894671559334,1103601.67005806160159409,13245322.35341075062751770,0.86414999997941777,33.05915000000000248
-2689185.61220313049852848,4291112.48540125694125891,3864564.19381340267136693,-8765155.54208274930715561,16678221.48692630045115948,18422211.10267428681254387,0.77783999999519438,37.64815999999999718
-2689186.50245101237669587,4291078.55367124639451504,3864604.31637854781001806,-23228114.65537858754396439,992096.47276030434295535,12895857.70517403073608875,0.32916000002296641,36.62116000000000327
-2689324.50121255218982697,4291042.75022842828184366,3864554.41084463335573673,2113677.04072234546765685,17687597.59276913106441498,20092198.47613096237182617,0.48583999997936189,38.27215999999999951
-2689115.72344633890315890,4291143.27289607748389244,3864582.37277750205248594,6386394.16133725456893444,25691995.90887613967061043,-1708147.15689041977748275,0.38985000000684522,35.34915000000000163
-2689300.66788656497374177,4291047.46268267277628183,3864563.99032004270702600,-22099076.61371253430843353,6903229.66664208192378283,-13583028.95370604656636715,0.57813999999780208,25.17114000000000118
-2689116.96474677277728915,4291101.82807759195566177,3864619.79068903811275959,-21909189.91848637163639069,6682249.38467366155236959,-13996092.57450052723288536,0.25313000002643093,21.34412999999999982
-2689115.71867885207757354,4291106.59733154904097319,3864613.98945839935913682,-8665222.54978959821164608,16941502.38078334182500839,18224232.91619761288166046,0.25174000000697561,40.35725999999999658
-2689186.50245101237669587,4291078.55367124639451504,3864604.31637854781001806,6423459.82735795527696609,25702572.13347020372748375,-1353204.61881457967683673,0.59084999999322463,33.17414999999999736
-2689113.88080345373600721,4291114.74979518353939056,3864608.77768062660470605,1722503.56288103386759758,18015505.65997900813817978,19819973.87024106085300446,0.16885999997612089,28.27814000000000050
-2689188.59548388188704848,4291093.96049100719392300,3864585.80822863802313805,-8783765.41268777102231979,16629713.68444780819118023,18457899.24458360299468040,0.64084000000730157,37.89515999999999707
-2689321.25912558520212770,4291044.55084764119237661,3864556.63961256481707096,6531698.56481487397104502,25705768.81140590086579323,-226423.02676395748858340,0.83083999999507796,40.72216000000000236
-2689184.40363884158432484,4291126.85170953720808029,3864548.54600975150242448,-8750836.58763297647237778,16715654.61747056804597378,18394504.48525747656822205,0.93083999998634681,37.90115999999999730
-2689115.97780042281374335,4291147.35725242644548416,3864576.51386904856190085,-2167489.91866502352058887,-17017596.78292645886540413,20242521.41576053947210312,0.12712999999348540,21.45613000000000170
-2689306.81152425101026893,4291047.17942639160901308,3864562.43553398409858346,2077066.80353017756715417,17717993.21203425526618958,20067716.33023295179009438,0.63384999998379499,30.25414999999999921
-2689115.86302615702152252,4291105.31302608363330364,3864614.79381720023229718,-21904644.02398825809359550,6676926.02615738566964865,-14005769.18421933799982071,0.04414000001270324,27.82713999999999999
-2689176.91389331733807921,4291130.29638519603759050,3864549.35644520260393620,-8744116.76416409760713577,16733254.97898664139211178,18381427.09374476596713066,0.77684000000590459,36.34716000000000236
-2689110.84718114836141467,4291131.68000236339867115,3864595.09023496275767684,-8684996.56233559548854828,16889025.66901311278343201,18264275.21125887334346771,0.76084000000264496,38.67416000000000054
-2689179.82500198855996132,4291129.38241551537066698,3864548.54948574304580688,6443351.23548299819231033,25706462.17933275178074837,-1156569.49180589523166418,0.31685000000288710,34.65814999999999912
-2689186.50490536727011204,4291115.47444419004023075,3864560.23361477255821228,-2483631.67460019793361425,-16738908.48184094764292240,20441484.71648191660642624,0.58114000000023225,26.83314000000000021
