lat,longt,alt,sx,sy,sz,phase,am
-2689115.51253198599442840,4291112.42683030944317579,3864613.05370509484782815,9161383.35681499913334846,17910863.13985752686858177,17238972.07281566038727760,0.10386000000289641,28.31014000000000053
-2689252.84437752282246947,4291057.58556341473013163,3864578.87915753433480859,-26007088.40504743903875351,6450289.80198469012975693,-1163728.92493866942822933,0.30013999994844198,28.38413999999999859
-2689118.16601664992049336,4291145.55608284473419189,3864575.42223428003489971,-18612443.60039362683892250,2794914.13901702500879765,18766677.57440886273980141,0.45313000003807247,20.02412999999999954
-2689116.47313483292236924,4291109.18273107986897230,3864614.27285181358456612,-18944886.08266077563166618,2492578.70704218698665500,18482090.47174336761236191,0.55726000000140630,37.02125999999999806
-2689322.43019978655502200,4291044.88819056004285812,3864555.72745134448632598,-26009503.32444708794355392,6469181.93500003311783075,-962272.12493207876104861,0.57715000002644956,29.57515000000000072
-2689254.85849757026880980,4291057.22093772049993277,3864578.13388665998354554,-26007186.36490792036056519,6450886.73258607927709818,-1157434.91815016139298677,0.17614000011235476,27.91113999999999962
-2689116.84345380915328860,4291147.65671140700578690,3864576.11023663729429245,-10411033.75899292156100273,10721543.85894045233726501,21666981.85119755193591118,0.40815999999176711,36.31915999999999656
-2689313.70664828503504395,4291045.46553721092641354,3864560.49396440433338284,-12575400.71899914927780628,20166520.18086379021406174,11208206.01885136589407921,0.86685999999463093,24.99513999999999925
-2689111.71281031379476190,4291137.98813388403505087,3864589.02492656698450446,-6018247.94327622093260288,25613428.15426118299365044,1504347.43894371367059648,0.03484000000753440,39.42316000000000287
-2689185.99384803930297494,4291115.24150458071380854,3864561.25908877979964018,-6038853.81059633009135723,25591172.54584887996315956,1772490.71387554705142975,0.08783999999286607,37.90715999999999752
-2689186.40946064284071326,4291119.49986889027059078,3864555.73318864684551954,9233967.31811657175421715,17643141.95202270150184631,17474154.84912211820483208,0.27984000000287779,36.14616000000000184
-2689113.56078638182953000,4291122.12863702885806561,3864603.65351321501657367,16291022.86990797147154808,9216362.85860706120729446,19444277.43658646941184998,0.35286999994423240,21.86813000000000073
-2689115.71867885207757354,4291106.59733154904097319,3864613.98945839935913682,-18533906.70743425935506821,2867136.64506841963157058,18831598.23798957467079163,0.42015999997965991,36.81815999999999889
-2689313.70664828503504395,4291045.46553721092641354,3864560.49396440433338284,9416908.58880916237831116,16995059.54617199301719666,18009473.09139729663729668,0.02585000000544824,30.58014999999999972
